,lower_longitude,upper_longitude,lower_latitude,upper_latitude,fire_count
520,-128.0,-127.0,57.0,58.0,2
521,-128.0,-127.0,58.0,59.0,128
522,-128.0,-127.0,59.0,60.0,311
523,-128.0,-127.0,60.0,61.0,395
524,-128.0,-127.0,61.0,62.0,3
525,-128.0,-127.0,62.0,63.0,33
526,-128.0,-127.0,63.0,64.0,0
527,-128.0,-127.0,64.0,65.0,0
528,-128.0,-127.0,65.0,66.0,145
529,-128.0,-127.0,66.0,67.0,354
530,-128.0,-127.0,67.0,68.0,98
531,-128.0,-127.0,68.0,69.0,0
532,-128.0,-127.0,69.0,70.0,40
533,-128.0,-127.0,70.0,71.0,0
534,-128.0,-127.0,71.0,72.0,0
535,-128.0,-127.0,72.0,73.0,0
536,-128.0,-127.0,73.0,74.0,0
537,-128.0,-127.0,74.0,75.0,0
538,-128.0,-127.0,75.0,76.0,0
539,-128.0,-127.0,76.0,77.0,0
540,-128.0,-127.0,77.0,78.0,0
541,-128.0,-127.0,78.0,79.0,0
542,-128.0,-127.0,79.0,80.0,0
543,-128.0,-127.0,80.0,81.0,0
544,-128.0,-127.0,81.0,82.0,0
545,-128.0,-127.0,82.0,83.0,0
546,-127.0,-126.0,41.0,42.0,0
547,-127.0,-126.0,42.0,43.0,0
548,-127.0,-126.0,43.0,44.0,0
549,-127.0,-126.0,44.0,45.0,0
550,-127.0,-126.0,45.0,46.0,0
551,-127.0,-126.0,46.0,47.0,0
552,-127.0,-126.0,47.0,48.0,0
553,-127.0,-126.0,48.0,49.0,0
554,-127.0,-126.0,49.0,50.0,55
555,-127.0,-126.0,50.0,51.0,150
556,-127.0,-126.0,51.0,52.0,1
557,-127.0,-126.0,52.0,53.0,1773
558,-127.0,-126.0,53.0,54.0,2871
559,-127.0,-126.0,54.0,55.0,806
560,-127.0,-126.0,55.0,56.0,256
561,-127.0,-126.0,56.0,57.0,0
562,-127.0,-126.0,57.0,58.0,50
563,-127.0,-126.0,58.0,59.0,80
564,-127.0,-126.0,59.0,60.0,9
565,-127.0,-126.0,60.0,61.0,661
566,-127.0,-126.0,61.0,62.0,502
567,-127.0,-126.0,62.0,63.0,1
568,-127.0,-126.0,63.0,64.0,9
569,-127.0,-126.0,64.0,65.0,84
570,-127.0,-126.0,65.0,66.0,259
571,-127.0,-126.0,66.0,67.0,17
572,-127.0,-126.0,67.0,68.0,0
573,-127.0,-126.0,68.0,69.0,0
574,-127.0,-126.0,69.0,70.0,0
575,-127.0,-126.0,70.0,71.0,0
576,-127.0,-126.0,71.0,72.0,0
577,-127.0,-126.0,72.0,73.0,0
578,-127.0,-126.0,73.0,74.0,0
579,-127.0,-126.0,74.0,75.0,0
580,-127.0,-126.0,75.0,76.0,0
581,-127.0,-126.0,76.0,77.0,0
582,-127.0,-126.0,77.0,78.0,0
583,-127.0,-126.0,78.0,79.0,0
